# Lindstrom Triangulation
# disp_scale=1.000000, disp_offset=0.000000mm
# anchor_mode=0, anchor_threshold=30.000000mm
# id x_orig y_orig z_orig x_target y_target z_target movement_mm is_anchor
999 6.322160 14.875000 0.125000 6.318411 14.869921 0.125055 6.312894 0
1002 6.288250 14.875000 0.875000 6.251352 14.844164 0.862137 49.777912 0
1005 6.265470 14.875000 1.625000 6.268191 14.877038 1.626505 3.717492 0
1008 6.360140 15.125000 0.125000 6.352607 15.116018 0.125084 11.723041 0
1009 6.351660 15.125000 0.375000 6.376390 15.151358 0.377332 36.217734 0
1010 6.365910 15.125000 0.625000 6.362664 15.120984 0.624193 5.226387 0
1011 6.348790 15.125000 0.875000 6.315225 15.088743 0.864328 50.547814 0
1012 6.349670 15.125000 1.125000 6.333976 15.111045 1.117477 22.307835 0
1013 6.341460 15.125000 1.375000 6.317037 15.098502 1.361691 38.415650 0
1015 6.318030 15.125000 1.875000 6.331088 15.138737 1.884370 21.142653 0
1018 6.375000 15.195200 0.375000 6.335721 15.164253 0.370840 50.178045 0
1019 6.375000 15.184500 0.125000 6.391702 15.194611 0.124612 19.527613 0
1020 6.375000 15.168400 0.625000 6.371286 15.165832 0.623974 4.630258 0
1021 6.375000 15.240200 0.875000 6.330204 15.203011 0.859082 60.358272 0
1023 6.375000 15.273100 1.375000 6.366171 15.259367 1.370913 16.829851 0
1024 6.375000 15.349300 1.625000 6.385920 15.359997 1.631950 16.791944 0
1027 6.362360 15.375000 2.125000 6.351307 15.358771 2.116358 21.452820 0
1029 6.224700 15.375000 2.375000 6.226794 15.376953 2.376720 3.340018 0
1033 6.312500 15.625000 2.375000 6.315555 15.627753 2.377835 4.995125 0
1036 6.423480 15.375000 0.125000 6.467359 15.401712 0.123850 51.383003 0
1037 6.432990 15.375000 0.375000 6.425181 15.366290 0.374215 11.724197 0
1041 6.399310 15.375000 1.375000 6.374134 15.347688 1.361097 39.661952 0
1042 6.381460 15.375000 1.625000 6.385838 15.379533 1.627382 6.737049 0
1044 6.503480 15.625000 0.375000 6.491507 15.605407 0.374020 22.982761 0
1067 6.625000 16.125000 0.353059 6.624699 16.123699 0.353028 1.335686 0
1068 6.623350 16.125000 0.375000 6.590974 16.087327 0.371991 49.764774 0
1076 6.609580 16.125000 1.125000 6.593971 16.106374 1.118298 25.208587 0
1086 6.474510 16.125000 2.375000 6.453773 16.095470 2.355231 41.144454 0
1090 6.125000 16.125000 2.567240 6.144045 16.157448 2.587184 42.582997 0
1091 6.096210 16.125000 2.625000 6.094521 16.120995 2.622646 4.943210 0
1092 6.375000 16.125000 2.477400 6.375599 16.125510 2.477188 0.814434 0
1105 0.375000 5.125000 2.329430 0.375713 5.116961 2.325187 9.117873 0
1106 0.375000 5.625000 0.741223 0.378379 5.615095 0.737467 11.119245 0
